Brand,Source,Published_Date,Combined_Text,Cleaned_Text
Flipkart,The Times of India,2026-02-16T01:36:15Z,New-age cos downsize IPOs; Neysa’s $1.2 billion funding Happy Monday! Several recently-listed new-age firms have cut down their IPO sizes and tinkered with their valuation. This and more in today’s ETtech Morning Dispatch.,newage cos downsize ipos neysas billion funding happy monday several recentlylisted newage firms cut ipo sizes tinkered valuation todays ettech morning dispatch
Flipkart,The Times of India,2026-02-16T00:31:00Z,"Quick commerce gains as last-minute events drive Valentine’s demand Direct-to-consumer (D2C) brands report a surge in sales during the Valentine’s Day period as smaller events, festivals, and occasions grow bigger on quick commerce each year. Valentine’s Day is emerging as a key sales event for quick commerce platforms as com…",quick commerce gains lastminute events drive valentines demand directtoconsumer dc brands report surge sales valentines day period smaller events festivals occasions grow bigger quick commerce year valentines day emerging key sales event quick commerce platforms com
Flipkart,The Times of India,2026-02-15T18:58:57Z,"India-Pakistan T20 clash sparks surge in food delivery orders, ad rates and dine-in demand The India-Pakistan cricket match significantly boosted the economy, with food delivery services and quick commerce platforms seeing a surge in orders. Bars and clubs increased dine-in charges for live screenings, while advertisers rushed to secure last-minute…",indiapakistan clash sparks surge food delivery orders ad rates dinein demand indiapakistan cricket match significantly boosted economy food delivery services quick commerce platforms seeing surge orders bars clubs increased dinein charges live screenings advertisers rushed secure lastminute
Flipkart,The Times of India,2026-02-14T17:30:48Z,"'Indian consumer brands have a 20-yr opportunity to expand into global markets' Indian brands are ready to take the world stage! With favorable geopolitics and new trade agreements with regions such as the EU and the US, opportunities abound. Crafting billion-dollar brands from India is not just a dream; it’s within reach. The winning fo…",indian consumer brands yr opportunity expand global markets indian brands ready take world stage favorable geopolitics new trade agreements regions eu us opportunities abound crafting billiondollar brands india dream within reach winning fo
Flipkart,Youthincmag.com,2026-02-14T01:32:09Z,"Valentine’s Day: How Brands Are Shaping Marketing Campaigns Valentine’s Day has become one of the most creative, culturally rich, and commercially important moments on the annual calendar not just for romantic couples but for brands too.",valentines day brands shaping marketing campaigns valentines day become one creative culturally rich commercially important moments annual calendar romantic couples brands
Flipkart,Livemint,2026-02-13T14:39:28Z,CCPA fines Snapdeal ₹5 lakh for selling non-BIS certified toys The CCPA holds that marketplace platforms cannot evade accountability by claiming intermediary status when consumer safety is at stake.,ccpa fines snapdeal lakh selling nonbis certified toys ccpa holds marketplace platforms cannot evade accountability claiming intermediary status consumer safety stake
Flipkart,Business Standard,2026-02-13T06:48:16Z,"Ecom channels, gifting firms unwrap 60% growth ahead of Valentine's Day E-commerce players and gifting platforms clock nearly 60 per cent YoY growth ahead of Valentine's Day, driven by premiumisation, Tier-II expansion and faster deliveries.",ecom channels gifting firms unwrap growth ahead valentines day ecommerce players gifting platforms clock nearly per cent yoy growth ahead valentines day driven premiumisation tierii expansion faster deliveries
Flipkart,GSMArena.com,2026-02-13T03:04:02Z,"Here's when the Infinix Note Edge is launching in India Infinix made the Note Edge official last month, and now we know when it will finally launch in India: on February 18 at 12 PM local time. This information comes courtesy of a Flipkart microsite that went live for the device. This obviously also tells us that …",heres infinix note edge launching india infinix made note edge official last month know finally launch india february pm local time information comes courtesy flipkart microsite went live device obviously also tells us
Flipkart,The Times of India,2026-02-13T00:30:00Z,"Gifting, wellness brands find love on qcomm this Valentine’s week Valentine’s Day is becoming a major sales event for quick commerce and D2C brands, spanning fashion, jewellery, beauty, and sexual wellness. Platforms like Zepto, Blinkit, and Instamart have launched dedicated Valentine’s sections from February 7, with intera…",gifting wellness brands find love qcomm valentines week valentines day becoming major sales event quick commerce dc brands spanning fashion jewellery beauty sexual wellness platforms like zepto blinkit instamart launched dedicated valentines sections february intera
Flipkart,The Times of India,2026-02-12T13:55:00Z,AI jitters continue to hit IT; USV Pharma buys Wellbeing stake IT stocks saw a sharp drop on Thursday amid investor concerns over AI-driven disruption. This and more in today’s ETtech Top 5.,ai jitters continue hit usv pharma buys wellbeing stake stocks saw sharp drop thursday amid investor concerns aidriven disruption todays ettech top
Amazon India,The Times of India,2026-02-16T08:17:47Z,"Carnegie Mellon leads, MIT follows: Top 5 US universities that received the most foreign funding in 2025 US colleges received over $5.2 billion in foreign funding in 2025, with elite institutions like Carnegie Mellon and MIT leading the influx. The Department of Education launched a new portal to track these funds, enhancing transparency and compliance with fede…",carnegie mellon leads mit follows top us universities received foreign funding us colleges received billion foreign funding elite institutions like carnegie mellon mit leading influx department education launched new portal track funds enhancing transparency compliance fede
Amazon India,The Times of India,2026-02-16T06:01:53Z,"CBSE board exams 2026: No entry after 10 am, PwD students to get extra time; full exam-day guidelines here CBSE has announced strict entry timings for the 2026 board examinations, with gates closing at 10:00 AM sharp for the 10:30 AM exam start. Students must arrive by 9:30 AM to complete formalities. The Board also detailed the bell pattern and emphasized the imp…",cbse board exams entry pwd students get extra time full examday guidelines cbse announced strict entry timings board examinations gates closing sharp exam start students must arrive complete formalities board also detailed bell pattern emphasized imp
